Terminologie;;;;;;;;;;;;
Modèle OCDE;;;;;;Directive;;;;;Loi française;Définition
10.1;Entité mère;Une Entité mère désigne une Entité mère ultime qui n’est pas une Entité exclue, une Entité mère intermédiaire ou une Entité mère partiellement détenue.;Parent entity;Parent Entity means an Ultimate Parent Entity that is not an Excluded Entity, an Intermediate Parent Entity, or a Partially-Owned Parent Entity.;3, 24;Entité mère;Entité mère ultime, qui n'est ni une entité exclue, ni une entité mère intermédiaire ni une entité mère partiellement détenue.;Parent entity;An ultimate parent entity which is not an excluded entity, an intermediate parent entity or a partially-owned parent entity;223 VK, 15°;Entité mère;"Une entité mère intermédiaire, une entité mère partiellement détenue ou une entité mère ultime, qui n’est pas une entité exclue conformément à l’article 223 VL bis ;"
10.1;Entité mère à détention minoritaire;Une Entité mère à détention minoritaire désigne une Entité constitutive à détention minoritaire qui détient, directement ou indirectement, les Titres conférant le contrôle d’une autre Entité constitutive à détention minoritaire, excepté lorsque les Titres conférant le contrôle de la première Entité sont détenus, directement ou indirectement, par une autre Entité constitutive à détention minoritaire.   ;Minority-Owned Parent Entity;Minority-Owned Parent Entity means a Minority-Owned Constituent Entity that holds, directly or indirectly, the Controlling Interests of another Minority-Owned Constituent Entity, except where the Controlling Interests of the first-mentioned Entity are held, directly or indirectly, by another Minority-Owned Constituent Entity. ;31, 1, b);Entité mère à détention minoritaire;"[Aux fins de l’article 31]
«entité mère à détention minoritaire»: une entité constitutive à détention minoritaire qui détient, directement ou indirectement, les titres conférant le contrôle d’une autre entité constitutive à détention minoritaire, sauf lorsque les titres conférant le contrôle de la première entité sont détenus, directement ou indirectement, par une autre entité constitutive à détention minoritaire.";Minority-Owned Parent Entity;"[For the purposes of article 31]
‘minority-owned parent entity’ means a minority-owned constituent entity that holds, directly or indirectly, the controlling interests of another minority-owned constituent entity, except where the controlling interests of the former entity are held, directly or indirectly, by another minority-owned constituent entity.";223 WE, 2°;Entité mère à détention minoritaire;"[Pour l'application des articles 223 WE à 223 WE ter]
Entité mère à détention minoritaire : une entité constitutive à détention minoritaire dont les titres conférant le contrôle ne sont pas détenus, directement ou indirectement, par une autre entité constitutive à détention minoritaire et qui détient, directement ou indirectement, une participation conférant le contrôle d'une autre entité constitutive à détention minoritaire."
10.1;Entité mère intermédiaire;Une Entité mère intermédiaire désigne une Entité constitutive (autre qu’une Entité mère ultime, une Entité mère partiellement détenue, un Établissement stable ou une Entité d’investissement) qui détient (directement ou indirectement) un Titre de participation dans une autre Entité constitutive du même Groupe d’EMN.;Intermediate parent entity;Intermediate Parent Entity means a Constituent Entity (other than a Ultimate Parent Entity, Partially- Owned Parent Entity, Permanent Establishment, or Investment Entity) that owns (directly or indirectly) an Ownership Interest in another Constituent Entity in the same MNE Group.;3, 20;Entité mère intermédiaire;Entité constitutive qui détient, directement ou indirectement, une participation dans une autre entité constitutive du même groupe d’EMN ou du même groupe national de grande envergure et qui ne peut être considérée comme une entité mère ultime, une entité mère partiellement détenue, un établissement stable ou une entité d’investissement.;Intermediate parent entity;"A constituent entity that owns, directly or indirectly, an ownership interest in another constituent entity in the same MNE group or large-scale domestic group and that does not qualify as an ultimate parent entity, a partially-owned parent entity, a permanent establishment or an investment entity;";223 VK, 16°;Entité mère intermédiaire;"Une entité constitutive qui détient, directement ou indirectement, une participation dans une autre entité constitutive du même groupe d’entreprises multinationales ou du même groupe national, sans être considérée comme une entité mère ultime, une entité mère partiellement détenue, un établissement stable ou une entité d’investissement ;"
10.1;Entité mère partiellement détenue;"Une Entité mère partiellement détenue désigne une Entité constitutive (autre qu’une Entité mère ultime, un Établissement stable ou une Entité d’investissement) :
(a) qui détient (directement ou indirectement) un Titre de participation dans une autre Entité constitutive de son propre Groupe d’EMN ; et
(b) dont plus de 20 % des Titres de participation ouvrant droit à ses bénéfices sont détenus directement ou indirectement par des personnes qui ne sont pas des Entités constitutives du Groupe d’EMN.";Partially-owned parent entity;"Partially-Owned Parent Entity means a Constituent Entity (other than a Ultimate Parent Entity, Permanent Establishment, or Investment Entity) that:
(a) owns (directly or indirectly) an Ownership Interest in another Constituent Entity of the same MNE Group; and
(b) has more than 20% of the Ownership Interests in its profits held directly or indirectly by persons that are not Constituent Entities of the MNE Group.";3, 22;Entité mère partiellement détenue;"Entité constitutive :
-	qui détient, directement ou indirectement, une participation dans une autre entité constitutive du même groupe d’EMN ou du même groupe national de grande envergure, et
-	dont plus de 20 % de titres de participation ouvrant droit à ses bénéfices sont détenues, directement ou indirectement, par une ou plusieurs personnes qui ne sont pas des entités constitutives dudit groupe d’EMN ou du groupe national de grande envergure et qui ne sont pas considérées comme une entité mère ultime, un établissement stable ou une entité d'investissement.";Partially-owned parent entity;"A constituent entity that owns, directly or indirectly, an ownership interest in another constituent entity of the same MNE group or large-scale domestic group, and for which more than 20 % of the ownership interest in its profits is held, directly or indirectly, by one or several persons that are not constituent entities of that MNE group or large-scale domestic group and that does not qualify as an ultimate parent entity, a permanent establishment or an investment entity;";223 VK, 17°;Entité mère partiellement détenue;"Une entité constitutive, qui n’est pas considérée comme une entité mère ultime, un établissement stable ou une entité d’investissement, qui détient, directement ou indirectement, une participation dans une autre entité constitutive du même groupe d’entreprises multinationales ou du même groupe national, et dont plus de 20 % des titres ouvrant droit à ses bénéfices sont détenus, directement ou indirectement, par une ou plusieurs personnes qui ne sont pas des entités constitutives du groupe d’entreprises multinationales ou du groupe national ;"
1.4;Entité mère ultime (EMU);"Une Entité mère ultime désigne : 
(a) une Entité qui : 
i. détient directement ou indirectement un Titre conférant le contrôle dans une autre Entité ; et  
ii. n’est pas détenue, par le biais d’un Titre conférant le contrôle, directement ou indirectement par une autre Entité ; ou 
(b) l’Entité principale d’un Groupe qui relève de l'article 1.2.3. ";Ultimate parent entity (UPE);"Ultimate Parent Entity means either: 
(a) an Entity that: 
i. owns directly or indirectly a Controlling Interest in any other Entity; and 
ii. is not owned, with a Controlling Interest, directly or indirectly by another Entity; or 
(b) the Main Entity of a Group that is within Article 1.2.3. ";3, 14;Entité mère ultime (EMU);"a)	Entité qui détient, directement ou indirectement, une participation  conférant le contrôle dans une autre entité et qui n'est pas détenue, directement ou indirectement, par une autre entité ayant une participation conférant le contrôle dans l’entité concernée  ; ou
b)	Une entité principale d’un groupe au sens [de l’article 3,3), b)];";Ultimate parent entity (UPE);"(a) an entity that owns, directly or indirectly, a controlling interest in any other entity and that is not owned, directly or indirectly, by another entity with a controlling interest in it; or
(b) the main entity of a group as defined in point (3)(b);
";223 VK, 18°;Entité mère ultime (EMU);"a) Une entité qui détient, directement ou indirectement, une participation conférant le contrôle au sens du 38° dans une entité constitutive et qui n’est pas elle-même détenue dans les mêmes conditions ; 
b) Ou l’entité principale d’un groupe au sens du b du 26° ;"
10.1;Entité publique;"Une Entité publique désigne une Entité qui remplit l’ensemble des critères énoncés dans les paragraphes
(a) à (d) ci-après :
(a) elle fait partie d’une administration publique ou est entièrement détenue par une administration publique (y compris toute subdivision politique ou collectivité locale de celle-ci) ;
(b) elle a pour principal objet :
(i) d’exercer une fonction publique ; ou
(ii) de gérer ou placer les actifs de cette administration ou de sa juridiction au moyen de la réalisation d’investissements, la détention de placements, la gestion d’actifs, et d’autres activités connexes de placement d’actifs pour le compte de l’administration ou de la juridiction ;
et elle n’exerce pas d’activité économique ou commerciale ;
(c) elle rend compte à l’administration publique de ses résultats d’ensemble et lui fournit un rapport annuel d’information ; et
(d) ses actifs reviennent à cette administration publique à sa dissolution, et en cas de distribution de revenus nets, ceux-ci sont exclusivement distribués à ladite administration, sans qu’aucune personne privée ne puisse prétendre en bénéficier en tout ou partie.";Governmental entity;"Governmental Entity means an Entity that meets all of the following criteria set out in paragraphs (a) to (d)	below:
(a) it is part of or wholly-owned by a government (including any political subdivision or local authority thereof);
(b) it has the principal purpose of:
(i) fulfilling a government function; or
(ii) managing or investing that government’s or jurisdiction’s assets through the making and holding of investments, asset management, and related investment activities for the government’s or jurisdiction’s assets;
and does not carry on a trade or business;
(c) it is accountable to the government on its overall performance, and provides annual information reporting to the government; and
(d) its assets vest in such government upon dissolution and to the extent it distributes net earnings, such net earnings are distributed solely to such government with no portion of its net earnings inuring to the benefit of any private person.";3, 9;Entité publique;"Une entité qui remplit tous les critères suivants: 
a) elle fait partie d’un gouvernement ou est intégralement détenue par celui-ci, y compris toute subdivision politique ou autorité locale de celui-ci;
b) elle n’exerce aucune activité commerciale ou professionnelle et a pour objet principal de: 
i. remplir une fonction d’administration publique ; ou 
ii. gérer ou investir les actifs de ce gouvernement ou de cette juridiction en réalisant et en conservant des investissements, en assurant la gestion des actifs et en réalisant des activités d’investissement connexes portant sur les actifs du gouvernement ou de la juridiction; 
c) elle rend compte de ses résultats globaux à un gouvernement et lui fournit des rapports d’information annuels; et 
d) ses actifs reviennent à ce gouvernement au moment de la dissolution de l’entité et, dans la mesure où elle distribue des bénéfices nets, ces derniers sont distribués uniquement à ce gouvernement, aucune fraction de ses bénéfices nets ne pouvant échoir à une personne privée;";Governmental entity;"An entity that meets all the following criteria:
(a) it is part of, or wholly owned by, a government, including any political subdivision or local authority thereof;
(b) it does not carry on a trade or business and has the principal purpose of:
(i) fulfilling a government function; or
(ii) managing or investing that government’s or jurisdiction’s assets through the making and holding of investments, asset management, and related investment activities for that government’s or jurisdiction’s assets;
(c) it is accountable to a government on its overall performance, and provides annual information reporting to that government; and
(d) its assets vest in a government upon dissolution and, to the extent it distributes net earnings, such net earnings are distributed solely to that government with no portion of its net earnings inuring to the benefit of any private person;";223 VK, 19°;Entité publique;"Une entité qui remplit les conditions cumulatives suivantes : 
a) Elle est un organe ou un démembrement d’un État, d’une autorité locale ou d’une subdivision politique ou administrative de ceux-ci ou est intégralement détenue, directement ou indirectement, par ceux-ci ; 
b) Elle n’exerce aucune activité commerciale et a pour objet principal : 
i) De remplir une fonction d’administration publique ; 
ii) De gérer ou d’investir les actifs d’une des entités mentionnées au a en réalisant et en conservant des investissements, en assurant la gestion des actifs et en réalisant des activités d’investissement connexes portant sur les actifs d’une de ces entités ; 
c) Elle rend compte de ses résultats d’ensemble à l’une des entités mentionnées au a dont elle dépend et lui remet un rapport annuel d’information ; 
d) Lors de sa dissolution, ses actifs reviennent à l’une des entités mentionnées au a et, dans la mesure où elle distribue des bénéfices nets, l’intégralité de ces derniers sont distribués à l’une de ces mêmes entités. 
Aux fins de la présente définition, on entend par activité commerciale une activité qui présente un caractère agricole, industriel, commercial, artisanal ou libéral ;"
10.2.1.a;Entité fiscalement transparente;(a) Une Entité transparente localement est une Entité fiscalement transparente au regard de ses revenus, dépenses, bénéfices et pertes si elle est transparente fiscalement dans la juridiction où se situe l’entité qui détient ses titres.;Tax transparent entity;(a) A Flow-Through Entity is a Tax Transparent Entity with respect to its income, expenditure, profit or loss to the extent that it is fiscally transparent in the jurisdiction in which its owner is located.;3, 12, al. 2, a);Entité fiscalement transparente;"Une entité transparente intermédiaire est réputée être: 
a) Une entité fiscalement transparente en ce qui concerne ses recettes, dépenses, bénéfices et pertes, dans la mesure où elle est fiscalement transparente dans la juridiction où est situé son propriétaire;";Tax transparent entity;"A flow-through entity is deemed to be:
(a) a tax-transparent entity with respect to its income, expenditure, profit or loss to the extent that it is fiscally transparent in the jurisdiction in which its owner is located;";223 VK, 14°, b, i;Entité transparente;"b) Une entité interposée est : 
i) Soit une entité transparente, lorsque ses produits, ses charges, ses bénéfices ou ses pertes sont aussi traités par la législation de l’État ou territoire dans lequel est situé son détenteur direct comme s’ils étaient réalisés ou comptabilisés par ce détenteur, proportionnellement à sa participation dans l’entité ; "
10.1;Erreurs relatives à des périodes antérieures et les changements de principes comptabl;"Les Erreurs relatives à des périodes antérieures et les changements de principes comptable désignent toute variation du montant des capitaux propres à l’ouverture, au début de l’Année fiscale d’une Entité constitutive consécutive à :
(a) la correction d’une erreur dans la détermination du Résultat net dans les comptes sociaux d’une Année fiscale antérieure ayant modifié le montant des produits ou des charges inclus dans le calcul du Résultat GloBE au titre de cet exercice, sauf dans la mesure où une telle correction se traduit par une baisse importante du montant de l’impôt dû au titre des Impôts concernés comme prévu à l'Article 4.6 ; ou
(b) une modification de la politique ou des principes comptables ayant modifié le montant des produits ou des charges inclus dans le calcul du Résultat GloBE.";Prior Period Errors and Changes in Accounting Principles;"Prior Period Errors and Changes in Accounting Principles means all changes in the opening equity at the beginning of the Fiscal Year of a Constituent Entity attributable to:
(a) a correction of an error in the determination of Financial Accounting Net Income in a previous Fiscal Year that affected the income or expenses includible in the computation of GloBE Income or Loss for such Fiscal Year, except to the extent such error correction resulted in a material decrease to a liability for Covered Taxes subject to Article 4.6; or
(b) a change in accounting principle or policy that affects income or expenses includible in the computation of GloBE Income or Loss.";16, 1, g);Erreurs relatives à des périodes antérieures et changements de principes comptables;"Toute variation du solde d’ouverture des capitaux propres au début de l’année fiscale d’une entité constitutive consécutive à:
i) la correction d’une erreur dans la détermination du résultat net comptable d’une année fiscale antérieure ayant modifié le montant des produits et charges pouvant être inclus dans le calcul du bénéfice ou de la perte admissibles au titre de cette année fiscale, sauf dans la mesure où une telle correction d’erreur se traduit par une baisse importante du montant de l’impôt dû au titre des impôts concernés comme prévu à l’article 25; et
ii) une modification de la politique ou des principes comptables ayant modifié le montant des produits et charges inclus dans le calcul du bénéfice ou de la perte admissibles;";Prior period errors and changes in accounting principles;"A change in the opening equity of a constituent entity at the beginning of a fiscal year that is attributable to:
(i) a correction of an error in the determination of the financial accounting net income or loss in a previous fiscal year that affected the income or expenses able to be included in the computation of the qualifying income or loss in that previous fiscal year, except to the extent such correction of an error resulted in a material decrease of a liability for covered taxes subject to Article 25; and
(ii) a change in accounting principles or policy that affected the income or expenses included in the computation of the qualifying income or loss;";223 VO, 7°;Erreurs relatives à des exercices antérieurs et changements de principes comptables;"La variation du solde des capitaux propres au bilan d’ouverture consécutive : 
a) A la correction d’une erreur dans la détermination du résultat net comptable d’un exercice antérieur ayant affecté le montant des produits et charges pris en compte dans la détermination du résultat qualifié au titre de cet exercice, sauf si la correction se traduit par une baisse significative du montant des impôts couverts telle que mentionnée au 2 de l’article 223 VX ; 
b) Et à une modification de la réglementation applicable ou des principes comptables ayant affecté le montant des produits et charges pris en compte dans le calcul du résultat qualifié ; "
10.1;Établissement stable;"Un Établissement stable désigne :
(a) une installation d’affaires (y compris une installation réputée être une installation d’affaires) située dans une juridiction et considérée comme un Établissement stable en vertu d’une Convention fiscale applicable en vigueur, à condition que cette juridiction impose les bénéfices attribuables à cette installation conformément à une disposition similaire à l'article 7 du Modèle de Convention fiscale de l'OCDE sur le revenu et la fortune ;
(b) en l’absence de Convention fiscale en vigueur, une installation d’affaires (y compris une installation réputée être une installation d’affaires) dont une juridiction impose les bénéfices qui lui sont attribuables, conformément à sa législation nationale, ,et ce sur une base nette, d’une manière similaire à celle retenue pour imposer ses propres résidents fiscaux ;
(c) une installation d’affaires (y compris une installation réputée être une installation d’affaires) située dans une juridiction n’ayant pas de système d’imposition des bénéfices des sociétés, dans la mesure où cette installation d’affaires serait considérée comme un établissement stable en vertu du Modèle de Convention fiscale de l'OCDE sur le revenu et la fortune, et où ladite juridiction aurait eu le droit d’imposer les bénéfices attribuables à cette installation en vertu de l'article 7 de ce Modèle ; ou
(d) une installation d’affaires (y compris une installation réputée être une installation d’affaires) ne relevant d’aucune des catégories décrites aux paragraphes (a) à (c) par l’intermédiaire de laquelle une Entité exerce des activités en dehors de la juridiction où elle est située, sous réserve que cette juridiction exonère les bénéfices attribuables à de telles activités.";Permanent establishment;"Permanent Establishment means:
(a) a place of business (including a deemed place of business) situated in a jurisdiction and treated as a permanent establishment in accordance with an applicable Tax Treaty in force provided that such jurisdiction taxes the income attributable to it in accordance with a provision similar to Article 7 of the OECD Model Tax Convention on Income and on Capital;
(b) if there is no applicable Tax Treaty in force, a place of business (including a deemed place of business) in respect of which a jurisdiction taxes under its domestic law the income attributable to such place of business on a net basis similar to the manner in which it taxes its own tax residents;
(c) if a jurisdiction has no corporate income tax system, a place of business (including a deemed place of business) situated in that jurisdiction that would be treated as a permanent establishment in accordance with the OECD Model Tax Convention on Income and on Capital provided that such jurisdiction would have had the right to tax the income attributable to it in accordance with Article 7 of that model; or
(d) a place of business (or a deemed place of business) that is not already described in paragraphs (a) to (c) through which operations are conducted outside the jurisdiction where the Entity is located provided that such jurisdiction exempts the income attributable to such operations.";3, 13;Établissement stable;"a) Installation d’affaires ou installation réputée être une installation d’affaires située dans une juridiction où elle est considérée comme un établissement stable en vertu d'une convention fiscale applicable, à condition que cette juridiction impose les revenus attribuables à cette installation conformément à une disposition similaire à l’article 7 du modèle de convention fiscale de l’OCDE concernant le revenu et la fortune, dans sa version modifiée ;
b) en l’absence de convention fiscale applicable, une installation d’affaires ou une installation réputée être une installation d’affaires située dans une juridiction qui impose les revenus attribuables à cette installation d’affaires, sur une base nette d’une manière similaire à celle retenue pour imposer ses propres résidents fiscaux ;
c) une installation d’affaires ou une installation réputée être une installation d’affaires située dans une juridiction n’ayant pas mis en place un régime d’imposition des bénéfices des sociétés, dans la mesure où cette installation d’affaires serait considérée comme un établissement stable en vertu du modèle de convention fiscale de l’OCDE concernant le revenu et la fortune, dans sa version modifiée, et où ladite juridiction aurait eu le droit d’imposer les revenus attribuables à l’installation d’affaires en vertu de l’article 7 de cette convention; ou
d) une installation d’affaires ou une installation réputée être une installation d’affaires qui n’est pas décrite aux points a) à c),  par l’intermédiaire de laquelle une entité exerce des activités en dehors de la juridiction où l’entité est située, pour autant que cette juridiction exonère les bénéfices attribuables à de telles activités;";Permanent establishment;"(a) a place of business or a deemed place of business located in a jurisdiction where it is treated as a permanent establishment in accordance with an applicable tax treaty, provided that such jurisdiction taxes the income attributable to it in accordance with a provision similar to Article 7 of the OECD Model Tax Convention on Income and Capital, as amended;
(b) if there is no applicable tax treaty, a place of business or a deemed place of business located in a jurisdiction which taxes the income attributable to such place of business on a net basis in a manner similar to which it taxes its own tax residents;
(c) if a jurisdiction has no corporate income tax system, a place of business or a deemed place of business located in such jurisdiction that would be treated as a permanent establishment in accordance with the OECD Model Tax Convention on Income and Capital, as amended, provided that such jurisdiction would have had the right to tax the income that would have been attributable to the place of business in accordance with Article 7 of that Convention; or
(d) a place of business or a deemed place of business that is not described in points (a) to (c) through which operations are conducted outside the jurisdiction where the entity is located, provided that such jurisdiction exempts the income attributable to such operations;
";223 VK, 20°;Établissement stable;"a) Une installation d’affaires ou un dispositif réputé constituer une telle installation situé dans un État ou territoire où il est considéré comme un établissement stable en application d’une convention fiscale, à condition que cet État ou territoire impose les bénéfices attribuables à cette installation ou à ce dispositif en application d’une disposition similaire à l’article 7 du modèle de convention fiscale de l’Organisation de coopération et de développement économiques concernant le revenu et la fortune ; 
b) En l’absence de convention fiscale applicable, une installation d’affaires ou un dispositif réputé être une telle installation situé dans un État ou territoire, à condition que les bénéfices attribuables à cette installation ou ce dispositif soient imposés par cet État ou territoire d’une manière similaire à celle prévue pour imposer ses résidents ; 
c) Une installation d’affaires ou un dispositif réputé être une telle installation situé dans un État ou territoire dans lequel aucun impôt sur les bénéfices n’est appliqué, dans la mesure où cette installation ou ce dispositif seraient considérés comme un établissement stable selon les dispositions de l’article 5 du modèle de convention fiscale mentionné au a, et dans la mesure où cet État ou territoire aurait eu le droit d’imposer les bénéfices attribuables à cette installation ou ce dispositif en application de l’article 7 de ce modèle de convention ; 
d) Une installation d’affaires ou un dispositif réputé être une telle installation, autre que ceux mentionnés aux a, b et c, par l’intermédiaire duquel une entité exerce une ou plusieurs activités en dehors de l’État ou territoire dans lequel cette entité est située, et pour autant que cet État ou territoire n’impose pas, en raison de ses règles de territorialité, les bénéfices attribuables à ces activités ;"
10.1;Juridiction à faible imposition;Une Juridiction à faible imposition, pour un Groupe d’EMN au cours d’une Année fiscale donnée, désigne une juridiction dans laquelle le Groupe d’EMN a un Bénéfice GloBE net et un Taux effectif d’imposition (déterminé selon les modalités du chapitre 5) au cours de cette période qui est inférieur au Taux minimum.;Low-tax jurisdiction;Low-Tax Jurisdiction, in respect of an MNE Group in any Fiscal Year, means a jurisdiction where the MNE Group has Net GloBE Income and is subject to an Effective Tax Rate (as determined under Chapter 5) in that period that is lower than the Minimum Rate.;3, 35;Juridiction à faible imposition;Pour un groupe d’EMN ou un groupe national de grande envergure, au cours de toute année fiscale, un État membre ou une juridiction de pays tiers dans lequel le groupe d’EMN ou le groupe national de grande envergure a un bénéfice admissible et est soumis à un taux effectif d’imposition qui est inférieur au taux minimum d'imposition.;Low-tax jurisdiction;"In respect of an MNE group or a large-scale domestic group in any fiscal year, a Member State or a third-country jurisdiction in which the MNE group or the large-scale domestic group has a qualifying income and is subject to an effective tax rate which is lower than the minimum tax rate;";223 VK, 21°;État ou territoire à faible imposition;"Un État ou territoire dans lequel un groupe d’entreprises multinationales ou un groupe national constate, au cours d’un exercice, un résultat qualifié défini au 43° et est soumis à un taux effectif d’imposition qui est inférieur au taux minimum d’imposition défini au 45° ;"
10.1;États financiers consolidés;"Les États financiers consolidés désignent :
(a) les états financiers préparés par une Entité, conformément à une Norme de comptabilité financière admissible, dans lesquels les actifs, passifs, produits et charges et flux de trésorerie de cette Entité et des Entités dans lesquelles elle détient des Titres conférant le contrôle sont présentés comme s’il s’agissait d’une seule et même unité économique ;
(b) lorsqu’une Entité répond à la définition d’un Groupe en vertu de l’article 1.2.3, les états financiers de l’Entité qui sont préparés conformément à une Norme de comptabilité financière admissible ;
(c) lorsque l’Entité mère ultime a des états financiers tels que ceux décrits aux paragraphes (a) ou (b) mais qui ne sont pas préparés conformément à une Norme de comptabilité financière admissible, les états financiers sont ceux qui sont préparés sous réserve des ajustements destinés à corriger toute Distorsion importante de la concurrence ; et
(d) lorsque l’Entité mère ultime n’établit pas d’états financiers tels que ceux décrits aux paragraphes susmentionnés, les États financiers consolidés de l’Entité mère ultime sont ceux que l’Entité aurait préparés si elle avait été tenue de le faire conformément à une Norme de comptabilité financière agréée qui est soit une Norme de comptabilité financière admissible ou une autre norme de comptabilité financière ajustée pour corriger toute Distorsion importante de la concurrence.";Consolidated financial statements;"Consolidated Financial Statements means:
(a) the financial statements prepared by an Entity in accordance with an Acceptable Financial Accounting Standard, in which the assets, liabilities, income, expenses and cash flows of that Entity and the Entities in which it has a Controlling Interest are presented as those of a single economic unit;
(b) where an Entity meets the definition of a Group under Article 1.2.3, the financial statements of the Entity that are prepared in accordance with an Acceptable Financial Accounting Standard;
(c) where the Ultimate Parent Entity has financial statements described in paragraph (a) or (b) that are not prepared in accordance with an Acceptable Financial Accounting Standard, the financial statements are those that have been prepared subject to adjustments to prevent any Material Competitive Distortions; and
(d) where the Ultimate Parent Entity does not prepare financial statements described in the paragraphs above, the Consolidated Financial Statements of the Ultimate Parent Entity are those that would have been prepared if such Entity were required to prepare such statements in accordance with an Authorised Financial Accounting Standard that is either an Acceptable Financial Accounting Standard or another financial accounting standard that is adjusted to prevent any Material Competitive Distortions.";3, 6;États financiers consolidés;"a) les états financiers établis par une entité conformément à une norme de comptabilité financière admissible, dans lesquels les actifs, passifs, produits, charges et flux de trésorerie de cette entité et de toute entité dans laquelle elle détient une participation de contrôle sont présentés comme s’il s’agissait d’une seule et même unité économique;
b) pour les groupes définis au point 3 b), les états financiers établis par une entité conformément à une norme de comptabilité financière admissible;
c) les états financiers de l’entité mère ultime qui ne sont pas établis conformément à une norme de comptabilité financière admissible et qui ont ensuite été ajustés pour éviter toute distorsion importante de la concurrence; ou
d) lorsque l’entité mère ultime n’établit pas d’états financiers tels qu’ils sont décrits au point a), b)ou c), les états financiers qui auraient été établis si l’entité mère ultime avait été tenue de le faire conformément à:
i. une norme de comptabilité financière admissible; ou
ii. une autre norme de comptabilité financière, et à condition que ces états financiers aient été ajustés pour empêcher toute distorsion importante de la concurrence;";Consolidated financial statements;"(a) the financial statements prepared by an entity in accordance with an acceptable financial accounting standard, in which the assets, liabilities, income, expenses and cash flows of that entity and of any entities in which it has a controlling interest are presented as those of a single economic unit;
(b) for groups defined in point (3)(b), the financial statements prepared by an entity in accordance with an acceptable financial accounting standard;
(c) the financial statements of the ultimate parent entity that are not prepared in accordance with an acceptable financial accounting standard and that have been subsequently adjusted to prevent any material competitive distortions; and
(d) where the ultimate parent entity does not prepare financial statements as described in point (a), (b) or (c), the financial statements that would have been prepared if the ultimate parent entity were required to prepare such financial statements in accordance with:
(i) an acceptable financial accounting standard; or
(ii) another financial accounting standard, and provided such financial statements have been adjusted to prevent any material competitive distortions;

";223 VK, 22°;États financiers consolidés;"« a) Les états financiers établis par une entité en application d’une norme de comptabilité financière qualifiée, dans lesquels les actifs, passifs, produits, charges et flux de trésorerie de cette entité et des entités dans lesquelles elle détient une participation conférant le contrôle au sens du 38° sont présentés comme si ces entités constituaient une seule unité économique ; 
b) Pour les groupes définis au b du 26°, les états financiers établis par l’entité en application d’une norme de comptabilité financière qualifiée ; 
c) Les états financiers de l’entité mère ultime qui ne sont pas établis en application d’une norme de comptabilité financière qualifiée mais qui ont été retraités afin de corriger les écarts significatifs conformément à l’article 223 VN bis ; 
d) Lorsque l’entité mère ultime n’établit pas d’états financiers au sens des a, b ou c, les états financiers qui auraient été établis si elle avait été tenue de le faire, en application : 
i) D’une norme de comptabilité financière qualifiée ; 
ii) Ou d’une norme de comptabilité financière agréée, sous réserve que ces états financiers soient retraités afin de corriger les écarts significatifs conformément à l’article 223 VN bis ; """
10.1;Année fiscale;L’Année fiscale désigne une période comptable au titre de laquelle l’Entité mère ultime du Groupe d’EMN établit ses États financiers consolidés. Dans le cas des États financiers consolidés au sens du paragraphe (d) de leur définition, l’Année fiscale correspond à l’année civile.;Fiscal year;Fiscal Year means an accounting period with respect to which the Ultimate Parent Entity of the MNE Group prepares its Consolidated Financial Statements. In the case of Consolidated Financial Statements as defined in paragraph (d) of its definition, Fiscal Year means the calendar year.;3, 7;Année fiscale;"Période comptable pour laquelle l’entité mère ultime d’un groupe d’EMN ou d’un groupe national de grande envergure établit ses états financiers consolidés ou, si l’entité mère ultime ne le fait pas, la période correspondant à l’année civile; ";Fiscal year;"The accounting period with respect to which the ultimate parent entity of an MNE group or of a large-scale domestic group prepares its consolidated financial statements or, if the ultimate parent entity does not prepare consolidated financial statements, the calendar year;";223 VK, 23°;Exercice;"La période comptable au titre de laquelle l’entité mère ultime d’un groupe d’entreprises multinationales ou d’un groupe national établit ses états financiers consolidés ou, lorsque l’entité mère ultime n’établit pas de tels états financiers, la période correspondant à l’année civile ;"
10.1;Filiale à détention minoritaire;Une Filiale à détention minoritaire désigne une Entité constitutive à détention minoritaire dont les Titres conférant le contrôle sont détenus, directement ou indirectement, par une Entité mère à détention minoritaire. ;Minority-Owned Subsidiary;Minority-Owned Subsidiary means a Minority-Owned Constituent Entity whose Controlling Interests are held, directly or indirectly, by a Minority-Owned Parent Entity. ;31, 1, d);Filiale à détention minoritaire;"[Aux fins de l’article 31]
«filiale à détention minoritaire»: une entité constitutive à détention minoritaire dont les titres conférant le contrôle sont détenus, directement ou indirectement, par une entité mère à détention minoritaire.";Minority-Owned Subsidiary;"[For the purposes of article 31]
‘minority-owned subsidiary’ means a minority-owned constituent entity whose controlling interests are held, directly or indirectly, by a minority-owned parent entity.";223 WE, 3°;Filiale à détention minoritaire;"[Pour l'application des articles 223 WE à 223 WE ter]
Filiale à détention minoritaire : une entité constitutive à détention minoritaire dont les titres conférant le contrôle sont détenus, directement ou indirectement, par une entité mère à détention minoritaire."
